Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Stimulus	Event Marker
00:00:00.000	0.994895300	0.000000000	0.000018348	0.000000337	0.000110196	0.000003338	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.066	0.994492800	0.000000000	0.000093006	0.000001707	0.000558578	0.000016920	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.133	0.994090400	0.000000000	0.000167664	0.000003078	0.001006960	0.000030501	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.200	0.993688000	0.000000000	0.000242322	0.000004448	0.001455342	0.000044083	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.266	0.993384300	0.000000000	0.000298631	0.000005482	0.001793529	0.000054327	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.333	0.992982000	0.000000000	0.000373289	0.000006852	0.002241912	0.000067908	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.400	0.992480500	0.000000000	0.000466295	0.000008560	0.002800489	0.000084828	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.466	0.992177000	0.000000000	0.000522605	0.000009593	0.003138675	0.000095072	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.533	0.991774600	0.000000000	0.000597263	0.000010964	0.003587058	0.000108654	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.600	0.991273200	0.000000000	0.000690269	0.000012671	0.004145637	0.000125573	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.666	0.990969700	0.000000000	0.000746578	0.000013705	0.004483823	0.000135817	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.733	0.990567200	0.000000000	0.000821236	0.000015075	0.004932205	0.000149399	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.800	0.990065800	0.000000000	0.000914242	0.000016783	0.005490784	0.000166318	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.866	0.989663200	0.000000000	0.000988900	0.000018153	0.005939166	0.000179900	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:00.933	0.989260900	0.000000000	0.001063558	0.000019524	0.006387549	0.000193482	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.000	0.988858400	0.000000000	0.001138215	0.000020894	0.006835931	0.000207063	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.066	0.988455900	0.000000000	0.001212873	0.000022264	0.007284313	0.000220645	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.133	0.988053600	0.000000000	0.001287531	0.000023635	0.007732695	0.000234227	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.200	0.987651100	0.000000000	0.001362189	0.000025005	0.008181078	0.000247808	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.266	0.987347500	0.000000000	0.001418499	0.000026039	0.008519265	0.000258052	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.333	0.986945000	0.000000000	0.001493156	0.000027410	0.008967647	0.000271634	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.400	0.986443800	0.000000000	0.001586162	0.000029117	0.009526226	0.000288553	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.466	0.986140100	0.000000000	0.001642472	0.000030151	0.009864411	0.000298797	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.533	0.985737700	0.000000000	0.001717130	0.000031521	0.010312790	0.000312379	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.600	0.985236300	0.000000000	0.001810136	0.000033228	0.010871370	0.000329298	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.666	0.984932800	0.000000000	0.001866445	0.000034262	0.011209560	0.000339542	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.733	0.984530300	0.000000000	0.001941103	0.000035632	0.011657940	0.000353124	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.800	0.984029000	0.000000000	0.002034109	0.000037340	0.012216520	0.000370043	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.866	0.983725400	0.000000000	0.002090419	0.000038373	0.012554710	0.000380287	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:01.933	0.983323000	0.000000000	0.002165077	0.000039744	0.013003090	0.000393869	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.000	0.982821600	0.000000000	0.002258083	0.000041451	0.013561670	0.000410789	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.066	0.982518100	0.000000000	0.002314392	0.000042485	0.013899850	0.000421032	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.133	0.982115600	0.000000000	0.002389050	0.000043855	0.014348230	0.000434614	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.200	0.981614200	0.000000000	0.002482056	0.000045563	0.014906810	0.000451534	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.266	0.981310700	0.000000000	0.002538366	0.000046596	0.015245000	0.000461777	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.333	0.980908200	0.000000000	0.002613024	0.000047967	0.015693380	0.000475359	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.400	0.980406900	0.000000000	0.002706030	0.000049674	0.016251960	0.000492279	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.466	0.980103300	0.000000000	0.002762340	0.000050708	0.016590150	0.000502522	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.533	0.980189000	0.000000000	0.002581100	0.000047353	0.016666880	0.000820181	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.600	0.980904000	0.000000000	0.002036530	0.000037288	0.016299480	0.001594716	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.666	0.981534800	0.000000000	0.001634433	0.000029871	0.015913670	0.002150730	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.733	0.982340600	0.000000000	0.001339875	0.000024487	0.015248930	0.002505049	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.800	0.983637800	0.000000000	0.001102181	0.000020143	0.013784270	0.002645890	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.866	0.984742500	0.000000000	0.000937526	0.000017134	0.012473880	0.002697227	0.000000000	0.000000000	No Stimulus	No Event Marker
00:00:02.933	0.985806600	0.000006927	0.000783163	0.000014313	0.011504740	0.002610956	0.000005592	0.000000000	No Stimulus	No Event Marker
00:00:03.000	0.987049600	0.000017025	0.000602131	0.000011004	0.010447590	0.002484798	0.000015322	0.000000000	No Stimulus	No Event Marker
00:00:03.066	0.987777400	0.000029930	0.000493615	0.000009021	0.010089480	0.002322505	0.000032156	0.000000000	No Stimulus	No Event Marker
00:00:03.133	0.988406900	0.000037874	0.000406048	0.000007421	0.009865860	0.002402205	0.000037276	0.000050542	No Stimulus	No Event Marker
00:00:03.200	0.988967800	0.000047129	0.000330739	0.000006045	0.009724448	0.002493659	0.000039815	0.000097348	No Stimulus	No Event Marker
00:00:03.266	0.989309500	0.000061060	0.000285782	0.000005223	0.009701969	0.002398880	0.000044998	0.000084115	No Stimulus	No Event Marker
00:00:03.333	0.989696400	0.000078299	0.000233891	0.000004275	0.009760142	0.002154733	0.000044255	0.000116002	No Stimulus	No Event Marker
